"storage_scope","schema_name","object_name","object_type","column_or_item","data_type","nullable","default_or_values","row_count_live_2026-05-10","relationship_or_access","client_usage","current_behavior","policy_note"
"Supabase Auth managed","auth","users","table","id","uuid","no","","","Primary auth user identifier","Read by frontend as user.id via Supabase Auth session","Created by Supabase Auth on email/password or Google signup","Account identifier used to link app records"
"Supabase Auth managed","auth","users","table","email","varchar","yes","","","Managed by Supabase Auth","Submitted in AuthBlock signInWithPassword/signUp or returned by Google OAuth","Stored for login and account communication","Personal data: email address"
"Supabase Auth managed","auth","users","table","encrypted_password","varchar","yes","","","Managed by Supabase Auth","Password is submitted to Supabase Auth; app does not store plaintext password","Stored as encrypted/hashed credential for email/password auth","Sensitive auth credential; do not mention plaintext storage"
"Supabase Auth managed","auth","users","table","email_confirmed_at / confirmed_at","timestamptz","yes","","","Managed by Supabase Auth","Confirmation email flow after signup","Tracks whether email/account is confirmed","Account status metadata"
"Supabase Auth managed","auth","users","table","last_sign_in_at","timestamptz","yes","","","Managed by Supabase Auth","AuthProvider reads active session; app UI does not display this field directly","Tracks recent sign-in time","Security/account activity metadata"
"Supabase Auth managed","auth","users","table","raw_app_meta_data","jsonb","yes","","","Managed by Supabase Auth","Not directly used by app code","Stores provider/app auth metadata","May include provider/auth metadata"
"Supabase Auth managed","auth","users","table","raw_user_meta_data","jsonb","yes","","","Managed by Supabase Auth and OAuth provider","Not directly used by app code","May store OAuth/user profile metadata","May include profile metadata from auth provider"
"Supabase Auth managed","auth","users","table","created_at / updated_at / deleted_at","timestamptz","yes","","","Managed by Supabase Auth","Not directly used by app UI","Account lifecycle timestamps","Account administration metadata"
"Supabase Auth managed","auth","users","table","phone / phone confirmation fields","text/timestamptz","yes","","","Managed by Supabase Auth","No phone auth in current app code","Present in Supabase Auth schema but unused by app","Not intentionally collected by app at present"
"Supabase Auth managed","auth","identities","table","provider_id","text","no","","","Managed by Supabase Auth","Created for email or Google identity","Stores provider-side identity id","Needed for OAuth/email identity linking"
"Supabase Auth managed","auth","identities","table","user_id","uuid","no","","","FK to auth.users.id","Created by Supabase Auth","Links identity provider record to auth user","Account linkage metadata"
"Supabase Auth managed","auth","identities","table","identity_data","jsonb","no","","","Managed by Supabase Auth/OAuth provider","Google OAuth may populate provider profile fields","Stores provider identity payload","May include provider email/name/avatar depending provider payload"
"Supabase Auth managed","auth","identities","table","provider","text","no","email/google/etc","","Managed by Supabase Auth","AuthBlock supports email/password and Google OAuth","Stores auth provider name","Authentication method metadata"
"Supabase Auth managed","auth","identities","table","email","text","yes","","","Managed by Supabase Auth","Auth identity email","Stores identity email where available","Personal data: email address"
"Supabase Auth managed","auth","identities","table","last_sign_in_at / created_at / updated_at","timestamptz","yes","","","Managed by Supabase Auth","Not directly displayed by app","Identity lifecycle timestamps","Security/account metadata"
"Supabase Auth managed","auth","sessions","table","id","uuid","no","","","Managed by Supabase Auth","AuthProvider getSession reads browser session","Server-side session identifier","Security/session metadata"
"Supabase Auth managed","auth","sessions","table","user_id","uuid","no","","","FK to auth.users.id","Managed by Supabase Auth","Links session to account","Security/session metadata"
"Supabase Auth managed","auth","sessions","table","created_at / updated_at / refreshed_at / not_after","timestamp","yes","","","Managed by Supabase Auth","Auth session lifecycle","Tracks session creation, refresh, and expiry","Security/session metadata"
"Supabase Auth managed","auth","sessions","table","user_agent","text","yes","","","Managed by Supabase Auth","Not directly used by app code","May store browser user agent for sessions","Device/browser metadata"
"Supabase Auth managed","auth","sessions","table","ip","inet","yes","","","Managed by Supabase Auth","Not directly used by app code","May store IP address for sessions","Personal data/security metadata: IP address"
"Supabase Auth managed","auth","sessions","table","aal / factor_id / oauth_client_id / scopes / tag","mixed","yes","","","Managed by Supabase Auth","Not directly used by app code","Auth assurance, MFA, OAuth, and scope metadata","Security metadata"
"Supabase Auth managed","auth","refresh_tokens","table","token / refresh token fields","varchar/uuid/bigint","yes","","","Managed by Supabase Auth","Supabase client stores/uses browser session tokens","Refresh tokens support persistent login","Sensitive authentication token metadata"
"Application database","public","profiles","table","id","uuid","no","","8","Primary key; FK to auth.users.id; RLS own-row select/update","useProfile reads; useSettingsSync reads/updates; handle_new_user creates row","One profile row per signed-in user","Account-linked app profile identifier"
"Application database","public","profiles","table","display_name","text","yes","","8","Own-row RLS","Not referenced in current src","Available profile display name column, currently unused","Potential personal data if enabled later"
"Application database","public","profiles","table","total_xp","bigint","no","0","8","Own-row RLS; updated by trigger on focus session insert","useProfile reads; dashboard displays level/progress","Stores accumulated gamification XP","Usage/progress data"
"Application database","public","profiles","table","level","integer","no","1","8","Own-row RLS; updated by trigger on focus session insert","useProfile reads; dashboard displays level","Stores gamification level","Usage/progress data"
"Application database","public","profiles","table","updated_at","timestamptz","no","now()","8","Own-row RLS","Not directly displayed by app","Profile update timestamp","Operational metadata"
"Application database","public","profiles","table","focus_duration","integer","no","1500","8","Own-row RLS","useSettingsSync reads/updates after login","Stores preferred focus timer length in seconds","Preference/settings data"
"Application database","public","profiles","table","break_duration","integer","no","300","8","Own-row RLS","useSettingsSync reads/updates after login","Stores preferred break timer length in seconds","Preference/settings data"
"Application database","public","profiles","table","auto_break","boolean","no","false","8","Own-row RLS","useSettingsSync reads/updates after login","Stores whether break auto-starts","Preference/settings data"
"Application database","public","profiles","table","auto_focus","boolean","no","false","8","Own-row RLS","useSettingsSync reads/updates after login","Stores whether focus auto-starts","Preference/settings data"
"Application database","public","profiles","table","alarm_enabled","boolean","no","true","8","Own-row RLS","useSettingsSync reads/updates after login","Stores alarm enabled preference","Preference/settings data"
"Application database","public","profiles","table","alarm_volume","real","no","1","8","Own-row RLS","useSettingsSync reads/updates after login","Stores alarm volume preference","Preference/settings data"
"Application database","public","profiles","table","ui_volume","real","no","0.5","8","Own-row RLS","useSettingsSync reads/updates after login","Stores UI sound volume preference","Preference/settings data"
"Application database","public","profiles","table","focus_ambience_enabled","boolean","no","false","8","Own-row RLS","useSettingsSync reads/updates after login","Stores focus ambience enabled preference","Preference/settings data"
"Application database","public","profiles","table","focus_ambience_volume","real","no","0.2","8","Own-row RLS","useSettingsSync reads/updates after login","Stores focus ambience volume preference","Preference/settings data"
"Application database","public","profiles","table","ui_sounds_enabled","boolean","no","true","8","Own-row RLS","useSettingsSync reads/updates after login","Stores UI sounds enabled preference","Preference/settings data"
"Application database","public","focus_sessions","table","id","uuid","no","gen_random_uuid()","480","Primary key; RLS own-row insert/select","Inserted by useSyncSession when signed in","Unique focus/break session record id","Usage/progress record identifier"
"Application database","public","focus_sessions","table","user_id","uuid","no","","480","FK to auth.users.id; RLS auth.uid() = user_id","Set from current Supabase user id","Links session to signed-in user","Account-linked usage data"
"Application database","public","focus_sessions","table","mode","text","no","focus or break","480","CHECK mode in focus/break","Built from timer state","Stores whether session was focus or break","Usage/progress data"
"Application database","public","focus_sessions","table","duration_seconds","integer","no","","480","Own-row RLS","Built from timer settings","Planned duration of session in seconds","Usage/progress data"
"Application database","public","focus_sessions","table","accumulated_seconds","integer","no","","480","Own-row RLS","Built from timer elapsed/accumulated time","Actual accumulated time recorded for session","Usage/progress data"
"Application database","public","focus_sessions","table","started_at","timestamptz","no","","480","Own-row RLS","Built from timer sessionStartedAt","Session start timestamp","Usage timestamp; can reveal activity patterns"
"Application database","public","focus_sessions","table","finished_at","timestamptz","no","","480","Own-row RLS","Generated when syncing session payload","Session finish timestamp","Usage timestamp; can reveal activity patterns"
